ID;EAN;Código Interno;Código IMendes;Status;Descrição;NCM;CEST;% IPI;CST IPI;CST Pis/Cofins Ent.;CST Pis/Cofins Sai.;Nat. Rec. Isenta Pis/Cofins;Lista;Tipo;% PIS;% COFINS;CFOP Compra;CFOP Venda;CST;CSOSN;Mod. BC.;% ICMS;% ICMS PDV;Simb. PDV;% Red. BC ICMS;% Red. BC ICMS ST;Mod. BC ST;% ICMS ST;IVA;Pauta ST;% FCP;Antecipado;% Desoneração;% Diferimento;Cód. ANP;Cód.Benefício;Data Alteração;Data Revisão;Data Último Consumo;Valor Venda
16688;8710679003722;8710679003722;;F;BATATA PALITO FARMFRITES 1,1 KG;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
7518;7891515951030;7891515951030;;F;BATATA PALITO PERDIGAO 400G;20041000;17.091.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
3872;7791688000323;7791688000323;;F;BATATA PALITO RAPIPAP 2 KG;20041000;17.091.01;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
2619;38000849763;38000849763;;F;BATATA PRINGLES ORIGINAL 121 G;19059090;17.031.01;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;12;0;F;0;0;4;12;55,15;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
13325;7897122600125;7897122600125;;F;BATATA VAPZA CUBADA 500G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
13322;7897122600019;7897122600019;;F;BATATA VAPZA INTEIRA 500 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16431;7899466418381;7899466418381;;F;BATEDEIRA BRITANIA;85094020;21.041.00;10;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;40;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
2648;41333001043;41333001043;;F;BATERIA DURACELL 9V;85061039;;15;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
2653;41333121062;41333121062;;F;BATERIA DURACELL ALCALINA 12V;85061019;;15;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
2629;39800013613;39800013613;;F;BATERIA ENERGIZER 9V;85061031;;15;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
5282;7891025109396;7891025109396;;F;BEB  ACTIVIA MORANGO 170 G;04039000;17.021.00;0;;73;06;110;;;0;0;1403;5405;060;;3;18;0;F;0;0;4;18;31,71;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
5287;7891025109587;7891025109587;;F;BEB  ACTIVIA MORANGO 170 G;04039000;17.021.00;0;;73;06;110;;;0;0;1403;5405;060;;3;18;0;F;0;0;4;18;31,71;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
4307;7891000090046;7891000090046;;F;BEB  LAC  NESTLE NESTON 280 ML;22029900;17.115.00;4;;73;06;110;;;0;0;1403;5405;060;;3;18;0;F;0;0;4;18;31,15;0;2;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
4309;7891000090732;7891000090732;;F;BEB  LAC  NESTLE NESTON 280 ML;22029900;17.115.00;4;;73;06;110;;;0;0;1403;5405;060;;3;18;0;F;0;0;4;18;31,15;0;2;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
4752;7891000261163;7891000261163;;F;BEB  LAC  NESTON 280 ML 50 ML GT;22029900;17.115.00;4;;73;06;110;;;0;0;1403;5405;060;;3;18;0;F;0;0;4;18;31,15;0;2;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
4270;7891000077610;7891000077610;;F;BEB  LAC NINHO MOR BANANA 200 ML;22029900;17.115.00;4;;73;06;110;;;0;0;1403;5405;060;;3;18;0;F;0;0;4;18;31,15;0;2;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
